link,link_text,txt,site,area
https://www.lidovky.cz/jak-se-jedna-o-vlade-o-program-vzdycky-nejde-dulezite-jsou-i-lidske-vztahy-shoduji-se-politici-ifk-/zpravy-domov.aspx?c=A180207_142640_ln_domov_ele,"Jak se skutečně jedná o vládě? Schůzky v motorestu, jednání měsíce před volbami i noční hovory","Nejprve program, poté budeme řešit posty. Tato floskule zní pravidelně po každých volbách, když politici vyjednávají o...",lidovky.cz,title
https://www.lidovky.cz/u-moskvy-se-zritilo-letadlo-po-startu-na-palube-bylo-71-lidi-pa3-/zpravy-svet.aspx?c=A180211_133653_ln_zahranici_ele,"U Moskvy se zřítilo letadlo, pilot chtěl prý nouzově přistát. Zemřelo nejméně 71 lidí",Letadlo Saratovských aerolinií se v neděli zřítilo šest minut po startu z moskevského letiště Domodědovo. Na palubě...,lidovky.cz,title
//www.lidovky.cz/novinar.aspx?idnov=3709,Jaroslav Šindelář,"Česká medailová jízda pokračuje. I ve druhý den her se o ni postarali biatlonisté, konkrétně Michal Krčmář, který...",lidovky.cz,title
//www.lidovky.cz/novinar.aspx?idnov=3709,Jaroslav Šindelář,Veronika Vítková přebrala jubilejní padesátou medaili pro Českou republiku či Československo ze zimních olympijských...,lidovky.cz,title
//www.lidovky.cz/novinar.aspx?idnov=3808,Robert Sattler,"Počátkem 70. let minulého století si pořídil chatu nedaleko rakouských hranic. Nový Vojířov, vzdálený pár stovek metrů...",lidovky.cz,title
https://www.lidovky.cz/klesla-krnacova-vs-uber-taxikari-skodi-praze-a-magistrat-s-tim-nic-nedela-1o9-/nazory.aspx?c=A180209_203329_ln_nazory_krku,Krnáčová vs. Uber. Taxikáři škodí Praze a magistrát s tím nic nedělá,Čekání na tradiční novoroční ohňostroj letos Pražanům i návštěvníkům metropole...,lidovky.cz,title
https://www.lidovky.cz/squatterum-v-satovce-hrozi-vezeni-policie-driv-mluvila-o-prestupku-ted-zahajila-trestni-rizeni-ie3-/zpravy-domov.aspx?c=A180211_122949_ln_domov_ele,"Squatterům v Šatovce hrozí vězení. Policie dřív mluvila o přestupku, teď zahájila trestní řízení","Squatterům v pražské usedlosti Šatovka hrozí vězení. Policisté původně označili jednání squatterů za přestupek, nyní...",lidovky.cz,title
https://www.lidovky.cz/zeman-vystoupi-pristi-nedeli-v-uvodu-sjezdu-cssd-strana-pocita-s-jeho-prerusenim-ggy-/zpravy-domov.aspx?c=A180210_135652_ln_domov_ele,"Zeman vystoupí na sjezdu ČSSD, diskuse o problémech strany bude ale patrně tajná","Prezident Miloš Zeman vystoupí na sjezdu ČSSD příští neděli krátce po jeho zahájení, řekl v sobotu po jednání širšího...",lidovky.cz,title
https://www.lidovky.cz/na-prelomu-unora-a-brezna-budou-asi-teploty-pres-den-nad-nulou-pu7-/zpravy-domov.aspx?c=A180210_153508_ln_domov_krku,Na přelomu února a března budou denní teploty nad nulou. V noci bude dál mrznout,Na přelomu února a března se budou teploty přes den držet zřejmě nad...,lidovky.cz,title
https://www.lidovky.cz/squatteri-obsadili-usedlost-satovka-v-praze-jsou-i-na-strese-v-akci-je-zasahova-jednotka-spj-i-has-imw-/zpravy-domov.aspx?c=A180210_030120_ln_domov_gib,"Squatteři obsadili usedlost Šatovka v Praze, byli i na střeše. Zasahovala jednotka SPJ i hasiči",V pátek večer obsadili squatteři usedlost Šatovka v pražském Šáreckém...,lidovky.cz,title
https://www.lidovky.cz/severokorejska-agentura-vyzdvihla-uprimne-a-otevrene-rozhovory-na-oh-1mj-/zpravy-svet.aspx?c=A180211_102322_ln_zahranici_ele,Severokorejská agentura vyzdvihla ‚upřímné a otevřené‘ rozhovory na OH,"Státní severokorejská tisková agentura KCNA v neděli uvedla, že...",lidovky.cz,title
https://www.lidovky.cz/pocet-obeti-zemetreseni-na-tchaj-wanu-vzrostl-na-15-tela-nalezli-v-sutinach-domu-198-/zpravy-svet.aspx?c=A180211_111652_ln_zahranici_ele,Počet obětí zemětřesení na Tchaj-wanu vzrostl na 15. Těla nalezli v sutinách domu,Počet obětí úterního zemětřesení na Tchaj-wanu dosáhl 15 po nalezení...,lidovky.cz,title
https://www.lidovky.cz/bez-integrace-migrantu-vznikne-socialni-bomba-rika-eurokomisarka-p94-/zpravy-svet.aspx?c=A180211_153426_ln_zahranici_krku,Eurokomisařka pro regionální rozvoj: Bez integrace migrantů vznikne sociální bomba,Evropská unie musí investovat do společenské integrace migrantů. Jejich izolace by totiž vedla ke vzniku „jaderné...,lidovky.cz,title
https://byznys.lidovky.cz/zadavatele-reklamy-si-u-filmaru-koupili-zapletku-f7f-/firmy-trhy.aspx?c=A180211_145229_firmy-trhy_ele,Zadavatelé reklamy si u filmařů koupili zápletku. V sitkomu se objeví jejich kampaň,"Umísťování produktů do filmů či televizních seriálů, které je známé pod anglickým označením „product placement“, je...",lidovky.cz,title
