link,link_text,txt,site,area
https://www.lidovky.cz/domov/byvaly-prorektor-univerzity-karlovy-martin-kovar-se-dopustil-ve-svych-publikacich.A190214_140620_ln_domov_ele,"Bývalý prorektor UK Kovář se dopouštěl plagiátorství 20 let, uvedla fakultní etická komise",Bývalý prorektor UK Martin Kovář se podle etické komise Filozofické fakulty UK dopustil plagiátorství. Na jednání...,lidovky.cz,title
https://www.lidovky.cz/domov/roboticka-cenzura-pirati-se-postavili-proti-prijeti-smernice-o-autorskych-pravech.A190214_165511_ln_domov_ceh,‚Robotická cenzura.‘ Piráti se postavili proti přijetí směrnice o autorských právech,"Podoba evropské směrnice o ochraně autorských práv na internetu, jak se na ní ve středu večer dohodli zástupci unijních...",lidovky.cz,title
https://www.lidovky.cz/domov/v-cesku-je-odhadem-13-tisic-prostitutek-pulka-jsou-samozivitelky-vetsina-cesky.A190214_132333_ln_domov_ele,"V Česku je na 13 tisíc prostitutek. Většinou samoživitelek, které se musí postarat o děti, vyplývá z dat organizace","V České republice poskytuje placené sexuální služby podle odhadů zhruba 13 000 žen, víc než polovina z nich jsou přitom...",lidovky.cz,title
https://www.lidovky.cz/sport/ostatni-sporty/semenyaova-je-muz-hodla-se-hajit-vedeni-svetove-atletiky-pred-sportovnim-soudem.A190214_102440_ln-sport-ostatni_lar,"Semenyaová je muž, hodlá se hájit vedení světové atletiky před sportovním soudem","Britský deník The Times uvedl, že světová atletická federace IAAF postaví svou obhajobu v kauze Semenyaová na tvrzení,...",lidovky.cz,title
https://www.lidovky.cz/novinari/jan-horak.N3890,Jan Horák,"Do finále by mohla nakročit kauza, která vzešla ze sporu bývalého šéfa fúzí a akvizic ČEZ Vladimíra Schmalze se dvěma...",lidovky.cz,title
https://www.lidovky.cz/monitor-jana-machacka/machacek-jak-je-to-doopravdy-s-irskou-pojistkou.A190214_122924_monitor-jana-machacka_pev,Jak je to doopravdy s irskou pojistkou,Bývalý guvernér Hongkongu a evropský komisař Chris Patten v článku pro Project...,lidovky.cz,title
https://www.lidovky.cz/domov/majetkovy-urad-navrhl-prodat-v-souvislosti-s-vladni-ctvrti-v-letnanech-33-urednich-budov.A190214_173830_ln_domov_ceh,Majetkový úřad navrhl prodat v souvislosti s vládní čtvrtí v Letňanech 33 úředních budov,V souvislosti s plánem postavit vládní čtvrť v Letňanech navrhl majetkový úřad prodat 33 úřednických budov v Praze. Dvě...,lidovky.cz,title
https://www.lidovky.cz/domov/opozici-znepokojilo-hledani-odposlechu-u-stredoceskych-silnicaru-podle-kraje-to-je-bezna-soucast-re.A190214_163958_ln_domov_ceh,Opozici znepokojilo hledání odposlechů u středočeských silničářů. Podle kraje to je běžná součást rekonstrukce,Opozici ve středočeském zastupitelstvu znepokojilo hledání odposlechů v kancelářích krajské správy a údržby silnic....,lidovky.cz,title
https://www.lidovky.cz/domov/ujizdel-opily-ve-fabii-pred-policisty-pak-se-zamkl-a-predstiral-ze-spi-policie-mu-rozbila-okno.A190214_123458_ln_domov_mber,"Ujížděl opilý ve Fabii před policisty. Pak se zamkl a předstíral, že spí",Začátkem ledna zvolil řidič zjevně pod vlivem alkoholu zajímavou...,lidovky.cz,title
https://www.lidovky.cz/domov/falesny-exekutor-vylakal-2-5-milionu-korun-od-muze-ktery-nic-nedluzil.A190214_134901_ln_domov_ele,"Falešný exekutor vylákal 2,5 milionu korun od muže, který nic nedlužil","Muž z Novojičínska se vydával za exekutora, z podvedeného...",lidovky.cz,title
